Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;1609768960;1488609280;2696120778;3819;0;0;0;0;0;0;0;0;
2;40024500;1609850880;1488609280;2696211644;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;47544800;1609863168;1488609280;2696239292;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;22606600;1609871360;1488609280;2696258624;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;18166700;1610199040;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;12930900;1610252288;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
7;5526100;1610252288;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
8;5576700;1610252288;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
9;5573200;1610260480;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
10;8093700;1610260480;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
11;6786500;1610260480;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
12;7746100;1610260480;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
13;6690500;1610260480;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
14;4532300;1610260480;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
15;6301300;1610260480;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
16;5072200;1610260480;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
17;4291400;1610260480;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;5218100;1610260480;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
19;6091700;1610260480;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;3758900;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;4709700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;4072200;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;7170700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;13491400;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;4297700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
26;7315100;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
27;9444100;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
28;6474500;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
29;5907900;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
30;3120700;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
31;7659700;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
32;5086700;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
33;4246400;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
34;6346700;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
35;4094200;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
36;5128600;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
37;4387600;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
38;3656900;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
39;3749600;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
40;3523900;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
41;4103000;1610260480;1488609280;2729894708;0;0;0;0;0;0;0;0;0;0;9;0;0;
42;4634300;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
43;3611000;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
44;4359700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
45;6126200;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
46;3479200;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
47;3685300;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
48;2749400;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
49;3846600;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
50;3052200;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
51;5052700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
52;3739400;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
53;2590700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
54;4278500;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
55;2339000;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
56;2246100;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
57;2788900;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
58;2537700;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
59;3358800;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
60;2229600;1610260480;1488609280;2729894492;0;0;0;0;0;0;0;0;0;0;9;0;0;
