Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;1941983232;1477394432;2727748690;2342;0;0;0;0;0;0;0;0;
2;33690300;1942679552;1477394432;2728181936;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;15857100;1942704128;1477394432;2728209044;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;14365400;1943298048;1477394432;2761881632;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;7835900;1943355392;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;10531500;1943535616;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
7;4599500;1943560192;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
8;2035800;1943560192;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
9;2192300;1943560192;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
10;4941900;1943560192;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
11;3977900;1943564288;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
12;6518500;1943564288;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
13;5267300;1943564288;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
14;2753000;1943564288;1477394432;2761881808;0;0;0;0;0;0;0;0;0;0;9;0;0;
15;6569000;1943576576;1477394432;2761881052;0;0;0;0;0;0;0;0;0;0;9;0;0;
16;4915400;1943576576;1477394432;2761881052;0;0;0;0;0;0;0;0;0;0;9;0;0;
17;5166100;1943580672;1477394432;2761881052;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;7536100;1943580672;1477394432;2761881052;6;0;0;0;0;0;0;0;0;0;9;0;0;
19;5497200;1943580672;1477394432;2761881052;6;0;0;0;0;0;0;0;0;0;9;0;0;
20;2913100;1943580672;1477394432;2761881052;6;0;0;0;0;0;0;0;0;0;9;0;0;
21;6765600;1943580672;1477394432;2761864420;7;42;0;0;0;0;0;0;0;0;9;0;0;
22;6048600;1943715840;1477394432;2761864420;7;42;0;0;0;0;0;0;0;0;9;0;0;
