Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1906,5221500,1658687488,1488609280,3249283676,481,391217,0,0,0,0,0,0,0,0,76,0,5
1907,6051700,1658687488,1488609280,3249283676,481,391217,0,0,0,0,0,0,0,0,76,0,5
1908,5406400,1659301888,1488609280,3249283676,482,391215,0,0,0,0,0,0,0,0,76,0,5
1909,3592400,1659301888,1488609280,3249283676,482,391215,0,0,0,0,0,0,0,0,76,0,5
1910,3638300,1659301888,1488609280,3249283676,482,391215,0,0,0,0,0,0,0,0,76,0,5
1911,6090500,1659678720,1488609280,3266060892,483,235078,0,0,0,0,0,0,0,0,76,0,5
1912,3298400,1659781120,1488609280,3266060892,483,235078,0,0,0,0,0,0,0,0,76,0,5
1913,3066400,1659781120,1488609280,3266060892,483,235078,0,0,0,0,0,0,0,0,76,0,5
1914,2655300,1659781120,1488609280,3266060892,483,235078,0,0,0,0,0,0,0,0,76,0,5
1915,4490100,1660829696,1488609280,3266060892,484,156843,0,0,0,0,0,0,0,0,76,0,5
1916,2469700,1660833792,1488609280,3266060892,484,156843,0,0,0,0,0,0,0,0,76,0,5
1917,2688700,1660833792,1488609280,3266060892,484,156843,0,0,0,0,0,0,0,0,76,0,5
1918,2640700,1660833792,1488609280,3266060892,484,156843,0,0,0,0,0,0,0,0,76,0,5
1919,3290000,1660833792,1488609280,3266060892,484,156843,0,0,0,0,0,0,0,0,76,0,5
1920,2578600,1660833792,1488609280,3266060892,484,156843,0,0,0,0,0,0,0,0,76,0,5
1921,4352100,1661562880,1488609280,3282838108,485,313200,0,0,0,0,0,0,0,0,76,0,5
1922,4637100,1661562880,1488609280,3282838108,485,313200,0,0,0,0,0,0,0,0,76,0,5
1923,6522400,1661562880,1488609280,3282838108,485,313200,0,0,0,0,0,0,0,0,76,0,5
1924,11299600,1662177280,1488609280,3282838108,486,157639,0,0,0,0,0,0,0,0,76,0,5
1925,5822300,1662177280,1488609280,3282838108,486,157639,0,0,0,0,0,0,0,0,76,0,5
1926,11891300,1662898176,1488609280,3282838108,487,157094,0,0,0,0,0,0,0,0,76,0,5
1927,7801800,1662898176,1488609280,3282838108,487,157094,0,0,0,0,0,0,0,0,76,0,5
1928,11779700,1663213568,1488609280,3299615324,488,156945,0,0,0,0,0,0,0,0,76,0,5
1929,8727900,1663737856,1488609280,3316392540,489,86844,0,0,0,0,0,0,0,0,76,0,5
1930,5488100,1663737856,1488609280,3316392540,489,86844,0,0,0,0,0,0,0,0,76,0,5
1931,5752900,1663737856,1488609280,3316392540,489,86844,0,0,0,0,0,0,0,0,76,0,5
1932,7827100,1663950848,1488609280,3333169756,490,391324,0,0,0,0,0,0,0,0,76,0,5
1933,5552800,1663950848,1488609280,3333169756,490,391324,0,0,0,0,0,0,0,0,76,0,5
1934,9020100,1664471040,1488609280,3349946972,491,391301,0,0,0,0,0,0,0,0,76,0,5
1935,5249200,1664471040,1488609280,3349946972,491,391301,0,0,0,0,0,0,0,0,76,0,5
1936,4937400,1664471040,1488609280,3349946972,491,391301,0,0,0,0,0,0,0,0,76,0,5
1937,10617700,1664880640,1488609280,3349946972,492,391208,0,0,0,0,0,0,0,0,76,0,5
1938,5547800,1664880640,1488609280,3349946972,492,391208,0,0,0,0,0,0,0,0,76,0,5
1939,11554100,1664983040,1488609280,3349946972,493,317251,0,0,0,0,0,0,0,0,76,0,5
1940,5930500,1664983040,1488609280,3349946972,493,317251,0,0,0,0,0,0,0,0,76,0,5
1941,10882200,1665101824,1488609280,3366724188,494,86773,0,0,0,0,0,0,0,0,76,0,5
1942,12466300,1665306624,1488609280,3366724188,495,235018,0,0,0,0,0,0,0,0,76,0,5
