Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;1641332736;1488609280;2696120778;6301;0;0;0;0;0;0;0;0;
2;39010500;1644699648;1488609280;2696211644;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;38625100;1645535232;1488609280;2696239292;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;29426100;1645535232;1488609280;2696258624;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;19535400;1646120960;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;15647400;1646137344;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
7;4009300;1646141440;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
8;2672100;1646141440;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
9;2547400;1646141440;1488609280;2729926352;0;0;0;0;0;0;0;0;0;0;9;0;0;
10;3435300;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
11;6557700;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
12;3552700;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
13;2662500;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
14;2882700;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
15;1991800;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
16;1953900;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
17;1886200;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
18;2096600;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
19;2495000;1646141440;1488609280;2729926136;0;0;0;0;0;0;0;0;0;0;9;0;0;
20;2235300;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
21;1930300;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
22;3263900;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
23;2222500;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
24;1739900;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
25;1725900;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
26;1920000;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
27;2520700;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
28;2329500;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
29;3635600;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
30;5396700;1646141440;1488609280;2729910476;0;0;0;0;0;0;0;0;0;0;9;0;0;
