Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
55;3642300;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
56;2985000;1376370688;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
57;2898500;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
58;4781800;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
59;3602700;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
60;2984400;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
61;2898400;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
62;2795400;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
63;4539100;1376374784;1488609280;2711413340;0;0;0;0;0;0;0;0;0;0;9;0;0;
64;3635100;1376374784;1488609280;2710577756;0;0;0;0;0;0;0;0;0;0;9;0;0;
65;3171200;1376374784;1488609280;2710577756;0;0;0;0;0;0;0;0;0;0;9;0;0;
66;2848900;1376374784;1488609280;2710577756;0;0;0;0;0;0;0;0;0;0;9;0;0;
67;2687000;1376374784;1488609280;2710577756;0;0;0;0;0;0;0;0;0;0;9;0;0;
68;4839000;1376378880;1488609280;2710577756;0;0;0;0;0;0;0;0;0;0;9;0;0;
69;6302100;1376378880;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
70;2214600;1376378880;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
71;1892500;1376378880;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
72;2971100;1376382976;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
73;1869200;1376382976;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
74;1877100;1376382976;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
75;2041900;1376382976;1488609280;2710577972;0;0;0;0;0;0;0;0;0;0;9;0;0;
