Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1,0,1493565440,1496997888,2906891170,4475,0,0,0,0,0,0,0,0,,,,
2742,14276500,1528332288,1496997888,2939960588,571,0,0,0,0,0,0,0,0,0,19,0,10
2743,12840300,1528451072,1496997888,2939960588,572,150,0,0,0,0,0,0,0,0,29,0,10
2744,4803300,1529024512,1496997888,2939960588,573,500,0,0,0,0,0,0,0,0,39,0,10
2745,2583900,1529024512,1496997888,2939960588,573,500,0,0,0,0,0,0,0,0,39,0,10
2746,2244000,1529024512,1496997888,2939960588,573,500,0,0,0,0,0,0,0,0,39,0,10
2747,2092600,1529024512,1496997888,2939960588,573,500,0,0,0,0,0,0,0,0,39,0,10
2748,2233400,1529024512,1496997888,2939960588,573,500,0,0,0,0,0,0,0,0,39,0,10
2749,2206200,1529024512,1496997888,2939960588,573,500,0,0,0,0,0,0,0,0,39,0,10
2750,9498200,1530286080,1496997888,2973515020,574,392,0,0,0,0,0,0,0,0,49,0,10
2751,3944200,1530286080,1496997888,2973515020,574,392,0,0,0,0,0,0,0,0,49,0,10
2752,3911500,1530286080,1496997888,2973515020,574,392,0,0,0,0,0,0,0,0,49,0,10
2753,10757100,1531961344,1496997888,3040623884,575,330,0,0,0,0,0,0,0,0,59,0,10
2754,3420200,1531961344,1496997888,3040623884,575,330,0,0,0,0,0,0,0,0,59,0,10
2755,2415200,1531961344,1496997888,3040623884,575,330,0,0,0,0,0,0,0,0,59,0,10
2756,4838000,1532641280,1496997888,3040623884,576,780560,0,0,0,0,0,0,0,0,69,0,10
2757,2124400,1533599744,1496997888,3090955316,576,780560,0,0,0,0,0,0,0,0,69,0,10
2758,2070600,1533599744,1496997888,3090955316,576,780560,0,0,0,0,0,0,0,0,69,0,10
2759,2282000,1533599744,1496997888,3090955316,576,780560,0,0,0,0,0,0,0,0,69,0,10
2760,2065600,1533599744,1496997888,3090955316,576,780560,0,0,0,0,0,0,0,0,69,0,10
2761,2809500,1533599744,1496997888,3090955316,576,780560,0,0,0,0,0,0,0,0,69,0,10
2762,4511400,1534377984,1496997888,3124509748,577,780860,0,0,0,0,0,0,0,0,76,0,10
2763,2232900,1535188992,1496997888,3141286964,577,780860,0,0,0,0,0,0,0,0,76,0,10
2764,2095300,1535188992,1496997888,3141286964,577,780860,0,0,0,0,0,0,0,0,76,0,10
2765,2269100,1535188992,1496997888,3141286964,577,780860,0,0,0,0,0,0,0,0,76,0,10
2766,2089100,1535188992,1496997888,3141286964,577,780860,0,0,0,0,0,0,0,0,76,0,10
2767,3637500,1535188992,1496997888,3141286964,577,780860,0,0,0,0,0,0,0,0,76,0,10
2768,7156800,1536548864,1496997888,3208395828,578,781100,0,0,0,0,0,0,0,0,76,0,10
2769,4448900,1536548864,1496997888,3208395828,578,781100,0,0,0,0,0,0,0,0,76,0,10
2770,4157100,1536548864,1496997888,3208395828,578,781100,0,0,0,0,0,0,0,0,76,0,10
2771,4006800,1537236992,1496997888,3258727476,579,781110,0,0,0,0,0,0,0,0,76,0,10
2772,2301800,1537597440,1496997888,3258727476,579,781110,0,0,0,0,0,0,0,0,76,0,10
2773,2458600,1537597440,1496997888,3258727476,579,781110,0,0,0,0,0,0,0,0,76,0,10
2774,2224900,1537597440,1496997888,3258727476,579,781110,0,0,0,0,0,0,0,0,76,0,10
2775,2539500,1537597440,1496997888,3258727476,579,781110,0,0,0,0,0,0,0,0,76,0,10
2776,2553300,1537597440,1496997888,3258727476,579,781110,0,0,0,0,0,0,0,0,76,0,10
2777,8540000,1538646016,1496997888,3309059124,580,781090,0,0,0,0,0,0,0,0,76,0,10
2778,3703300,1538646016,1496997888,3309059124,580,781090,0,0,0,0,0,0,0,0,76,0,10
2779,2602200,1538646016,1496997888,3309059124,580,781090,0,0,0,0,0,0,0,0,76,0,10
2780,2499900,1538646016,1496997888,3309059124,580,781090,0,0,0,0,0,0,0,0,76,0,10
2781,3835700,1539870720,1496997888,3376167988,581,781100,0,0,0,0,0,0,0,0,76,0,10
2782,2494200,1539870720,1496997888,3376167988,581,781100,0,0,0,0,0,0,0,0,76,0,10
2783,2370200,1539870720,1496997888,3376167988,581,781100,0,0,0,0,0,0,0,0,76,0,10
2784,2054200,1539870720,1496997888,3376167988,581,781100,0,0,0,0,0,0,0,0,76,0,10
2785,2186200,1539870720,1496997888,3376167988,581,781100,0,0,0,0,0,0,0,0,76,0,10
2786,2880800,1539870720,1496997888,3376167988,581,781100,0,0,0,0,0,0,0,0,76,0,10
2787,6778300,1539870720,1496997888,3376168204,582,780860,0,0,0,0,0,0,0,0,76,0,10
2788,2941200,1539870720,1496997888,3376168204,582,780860,0,0,0,0,0,0,0,0,76,0,10
2789,2366100,1539870720,1496997888,3376168204,582,780860,0,0,0,0,0,0,0,0,76,0,10
2790,2444900,1539870720,1496997888,3376168204,582,780860,0,0,0,0,0,0,0,0,76,0,10
2791,4102300,1539870720,1496997888,3376168204,583,41850,0,0,0,0,0,0,0,0,76,0,10
2792,2415000,1540014080,1496997888,3376168204,583,41850,0,0,0,0,0,0,0,0,76,0,10
2793,2612700,1542148096,1496997888,3376168204,583,41850,0,0,0,0,0,0,0,0,76,0,10
2794,3781700,1542180864,1496997888,3376168204,583,41850,0,0,0,0,0,0,0,0,76,0,10
2795,2461900,1542180864,1496997888,3376168204,583,41850,0,0,0,0,0,0,0,0,76,0,10
2796,2997900,1542180864,1496997888,3376168204,583,41850,0,0,0,0,0,0,0,0,76,0,10
2797,4485200,1542180864,1496997888,3376168204,584,780860,0,0,0,0,0,0,0,0,76,0,10
2798,4091600,1543667712,1496997888,3376168204,584,780860,0,0,0,0,0,0,0,0,76,0,10
2799,2960000,1543921664,1496997888,3376168204,584,780860,0,0,0,0,0,0,0,0,76,0,10
2800,3790800,1543921664,1496997888,3376168204,584,780860,0,0,0,0,0,0,0,0,76,0,10
2801,6598000,1543921664,1496997888,3376168204,585,782468,0,0,0,0,0,0,0,0,76,0,10
2802,4199500,1545084928,1496997888,3376168204,585,782468,0,0,0,0,0,0,0,0,76,0,10
2803,4301700,1545252864,1496997888,3376168204,585,782468,0,0,0,0,0,0,0,0,76,0,10
2804,7840800,1545699328,1496997888,3376168204,586,781541,0,0,0,0,0,0,0,0,76,0,10
2805,4300400,1545773056,1496997888,3376168204,586,781541,0,0,0,0,0,0,0,0,76,0,10
2806,3969100,1545777152,1496997888,3376168204,586,781541,0,0,0,0,0,0,0,0,76,0,10
2807,5966300,1545777152,1496997888,3376168204,587,781276,0,0,0,0,0,0,0,0,76,0,10
2808,2882800,1547055104,1496997888,3376168204,587,781276,0,0,0,0,0,0,0,0,76,0,10
2809,2579200,1547251712,1496997888,3376168204,587,781276,0,0,0,0,0,0,0,0,76,0,10
2810,2282600,1547251712,1496997888,3376168204,587,781276,0,0,0,0,0,0,0,0,76,0,10
2811,2427700,1547251712,1496997888,3376168204,587,781276,0,0,0,0,0,0,0,0,76,0,10
