Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
1813,3711600,1738657792,1496997888,2906307636,373,78289,0,0,0,0,0,0,0,0,76,0,1
1814,2215900,1738657792,1496997888,2906307636,373,78289,0,0,0,0,0,0,0,0,76,0,1
1815,2348100,1738657792,1496997888,2906307636,373,78289,0,0,0,0,0,0,0,0,76,0,1
1816,3894600,1738657792,1496997888,2906307636,373,78289,0,0,0,0,0,0,0,0,76,0,1
1817,5641000,1738657792,1496997888,2906307636,373,78289,0,0,0,0,0,0,0,0,76,0,1
1818,7519300,1738657792,1496997888,2906307636,374,78266,0,0,0,0,0,0,0,0,76,0,1
1819,6528400,1738657792,1496997888,2906307636,374,78266,0,0,0,0,0,0,0,0,76,0,1
1820,8707000,1738665984,1496997888,2906307636,375,78290,0,0,0,0,0,0,0,0,76,0,1
1821,6230900,1738665984,1496997888,2906307636,375,78290,0,0,0,0,0,0,0,0,76,0,1
1822,5063100,1738665984,1496997888,2906307636,375,78290,0,0,0,0,0,0,0,0,76,0,1
1823,7683100,1738776576,1496997888,2923084852,376,78265,0,0,0,0,0,0,0,0,76,0,1
1824,6876700,1738776576,1496997888,2923084852,376,78265,0,0,0,0,0,0,0,0,76,0,1
1825,4172200,1738776576,1496997888,2923084852,377,78652,0,0,0,0,0,0,0,0,76,0,1
1826,2491800,1738878976,1496997888,2923084852,377,78652,0,0,0,0,0,0,0,0,76,0,1
1827,2375700,1738878976,1496997888,2923084852,377,78652,0,0,0,0,0,0,0,0,76,0,1
1828,2675900,1738878976,1496997888,2923084852,377,78652,0,0,0,0,0,0,0,0,76,0,1
1829,2719800,1738878976,1496997888,2923084852,377,78652,0,0,0,0,0,0,0,0,76,0,1
1830,4200000,1738878976,1496997888,2923084852,378,63,0,0,0,0,0,0,0,0,76,0,1
1831,3641200,1738981376,1496997888,2923084852,378,63,0,0,0,0,0,0,0,0,76,0,1
1832,2667900,1738981376,1496997888,2923084852,378,63,0,0,0,0,0,0,0,0,76,0,1
1833,3072000,1738981376,1496997888,2923084852,378,63,0,0,0,0,0,0,0,0,76,0,1
1834,6440200,1738981376,1496997888,2923084852,378,63,0,0,0,0,0,0,0,0,76,0,1
1835,12917500,1738981376,1496997888,2923084852,379,78104,0,0,0,0,0,0,0,0,76,0,1
1836,11368100,1738981376,1496997888,2923084852,380,78037,0,0,0,0,0,0,0,0,76,0,1
1837,27419200,1738981376,1496997888,2923084852,380,78037,0,0,0,0,0,0,0,0,76,0,1
1838,5583900,1738981376,1496997888,2923084852,382,63,0,0,0,0,0,0,0,0,76,0,1
1839,2739100,1738981376,1496997888,2923084852,382,63,0,0,0,0,0,0,0,0,76,0,1
1840,2998100,1738981376,1496997888,2923084852,382,63,0,0,0,0,0,0,0,0,76,0,1
1841,205687600,1736208384,1496997888,2923069732,383,0,0,0,0,0,0,0,0,0,76,0,1
1842,14649200,1736216576,1496997888,2923084852,391,0,0,0,0,0,0,0,0,0,76,0,1
1843,4828800,1736216576,1496997888,2923084852,394,0,0,0,0,0,0,0,0,0,76,0,1
1844,2983600,1736216576,1496997888,2923084852,394,0,0,0,0,0,0,0,0,0,76,0,1
1845,4176900,1736216576,1496997888,2923084852,394,0,0,0,0,0,0,0,0,0,76,0,1
1846,4707700,1736216576,1496997888,2923084852,397,10148,0,0,0,0,0,0,0,0,76,0,1
1847,3423800,1736216576,1496997888,2923084852,397,10148,0,0,0,0,0,0,0,0,76,0,1
1848,2776000,1736216576,1496997888,2923084852,397,10148,0,0,0,0,0,0,0,0,76,0,1
1849,3109800,1736216576,1496997888,2923084852,397,10148,0,0,0,0,0,0,0,0,76,0,1
1850,3219700,1736216576,1496997888,2923084852,397,10148,0,0,0,0,0,0,0,0,76,0,1
1851,4712400,1736216576,1496997888,2923084852,398,10010,0,0,0,0,0,0,0,0,76,0,1
1852,2917700,1736216576,1496997888,2923084852,398,10010,0,0,0,0,0,0,0,0,76,0,1
1853,2802100,1736216576,1496997888,2923084852,398,10010,0,0,0,0,0,0,0,0,76,0,1
1854,3514400,1736216576,1496997888,2923084852,398,10010,0,0,0,0,0,0,0,0,76,0,1
1855,5299100,1736216576,1496997888,2923084852,398,10010,0,0,0,0,0,0,0,0,76,0,1
1856,7357100,1736327168,1496997888,2939862068,399,10011,0,0,0,0,0,0,0,0,76,0,1
1857,5550500,1736327168,1496997888,2939862068,399,10011,0,0,0,0,0,0,0,0,76,0,1
1858,8304100,1736429568,1496997888,2939862068,400,10074,0,0,0,0,0,0,0,0,76,0,1
1859,5441300,1736429568,1496997888,2939862068,400,10074,0,0,0,0,0,0,0,0,76,0,1
1860,5732900,1736429568,1496997888,2939862068,400,10074,0,0,0,0,0,0,0,0,76,0,1
1861,8226400,1736531968,1496997888,2939862068,401,78267,0,0,0,0,0,0,0,0,76,0,1
1862,5654200,1736531968,1496997888,2939862068,401,78267,0,0,0,0,0,0,0,0,76,0,1
1863,7958200,1736531968,1496997888,2939862068,402,78292,0,0,0,0,0,0,0,0,76,0,1
1864,5488800,1736531968,1496997888,2939862068,402,78292,0,0,0,0,0,0,0,0,76,0,1
1865,4865300,1736531968,1496997888,2939862068,402,78292,0,0,0,0,0,0,0,0,76,0,1
