Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
68;2886000;573177856;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
69;2518400;573186048;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
70;2170700;573194240;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
71;2477600;573202432;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
72;2211200;573210624;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
73;2362400;573218816;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
74;2021000;573259776;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
75;3655700;573267968;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
76;1911400;573276160;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
77;2863200;573280256;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
78;2063100;573292544;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
79;2451700;573296640;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
80;2177400;573308928;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
81;2352100;573341696;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
82;3065900;573353984;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
83;2182200;573358080;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
84;2319300;573366272;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
85;2228200;573378560;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
86;2294000;573382656;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
87;2292400;573394944;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
88;2037000;573431808;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
89;3694200;573444096;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
90;1738900;573448192;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
91;2958200;573456384;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
92;2175500;573464576;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
93;2371500;573472768;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
94;2427700;573509632;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
95;3236300;573517824;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
96;2047900;573526016;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
97;2440100;573534208;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
98;2254000;573542400;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
99;2510800;573554688;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
100;2146700;573558784;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
101;2318100;573599744;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
102;2990600;573607936;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
103;2287900;573616128;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
104;2221700;573624320;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
105;2360600;573628416;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
106;2162100;573640704;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
107;2280600;573644800;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
108;2137500;573689856;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
109;3229400;573693952;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
110;2190300;573706240;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
111;2326900;573710336;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
112;2319900;573718528;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
113;2230800;573726720;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
114;2214300;573739008;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
115;2181000;573771776;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
116;3333800;573779968;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
117;2312200;573792256;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
118;2159200;573796352;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
119;2400200;573804544;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
120;2140000;573812736;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
121;2455600;573820928;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
122;1963600;573861888;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
123;3711200;573870080;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
124;1872200;573874176;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
125;2649800;573882368;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
126;2280100;573886464;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
127;2395000;573902848;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
128;2104300;573906944;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
129;2483600;573943808;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
130;2644400;573947904;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
131;2298800;573960192;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
132;2253500;573964288;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
133;2241800;573972480;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
134;2362800;573984768;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
135;2249200;573984768;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
136;2476400;574029824;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
137;3509600;574033920;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
138;1758200;574046208;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
139;3083900;574046208;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
140;1927800;574054400;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
141;2801700;574062592;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
142;1956100;574099456;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
143;3913400;574103552;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
144;1786600;574111744;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
145;2803600;574119936;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
146;2462400;574128128;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
147;2034900;574132224;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
148;2481900;574144512;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
149;2105400;574185472;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
150;3130200;574193664;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
151;2327800;574201856;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
152;2336400;574210048;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
153;2280400;574218240;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
154;2228000;574222336;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
155;2274100;574234624;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
156;2147500;574267392;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
157;3278400;574279680;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
158;2092600;574283776;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
159;2518900;574296064;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
160;2174600;574304256;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
161;2436400;574312448;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
162;2170400;574320640;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
163;2300500;574357504;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
164;2969700;574365696;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
165;2472300;574373888;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
166;2023000;574386176;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
167;2467200;574390272;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
168;2240700;574398464;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
169;2335300;574406656;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
170;2032000;574447616;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
171;3798000;574455808;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
172;1734000;574464000;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
173;2977100;574472192;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
174;2166000;574480384;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
175;2354700;574484480;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
176;2223200;574496768;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
177;2519100;574529536;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
178;2933600;574541824;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
179;2288700;574545920;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
180;2292200;574558208;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
181;2277500;574566400;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
182;2258600;574570496;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
183;2296300;574582784;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
184;2222400;574619648;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
185;3395200;574627840;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
186;2191800;574627840;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
187;2781300;574636032;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
188;2022500;574636032;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
189;2629800;574640128;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
190;2137400;574672896;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
191;3509700;574676992;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
192;2102200;574717952;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
193;2994800;574722048;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
194;2065700;574726144;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
195;2692700;574730240;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
196;2157400;574730240;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
197;2288000;574771200;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
198;3049500;574775296;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
199;2393100;574779392;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
200;2149600;574783488;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
201;2436000;574787584;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
202;2167900;574791680;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
203;2395700;574791680;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
204;2029400;574828544;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
205;4774200;574828544;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
206;1724400;574836736;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
207;2880600;574836736;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
208;2291400;574844928;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
209;2437900;574844928;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
210;2192900;574885888;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
211;3918100;574889984;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
212;1754100;574894080;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
213;3280500;574902272;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
214;2217200;574902272;9723904;497600781;0;0;0;0;0;0;0;0;0;0;9;0;0;
