Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,NFE Snapshot Tick,NFE Snapshot Size (bits),NFE RTT,NFE Jitter,Multiplay FPS,Multiplay BitRate In,Multiplay BitRate Out,Multiplay RTT (ms),Multiplay PacketLoss,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
2951,2037500,589295616,17149952,555227405,472,68754,0,0,0,0,0,0,0,0,76,0,1
2952,3916300,589299712,17149952,555227405,472,68754,0,0,0,0,0,0,0,0,76,0,1
2953,2251800,589303808,17149952,555227405,472,68754,0,0,0,0,0,0,0,0,76,0,1
2954,3344200,589410304,17149952,555227405,473,68754,0,0,0,0,0,0,0,0,76,0,1
2955,3967100,589508608,17149952,555227405,473,68754,0,0,0,0,0,0,0,0,76,0,1
2956,1851700,589524992,17149952,555227405,473,68754,0,0,0,0,0,0,0,0,76,0,1
2957,3827900,589524992,17149952,555227405,473,68754,0,0,0,0,0,0,0,0,76,0,1
2958,2032100,589524992,17149952,555227405,473,68754,0,0,0,0,0,0,0,0,76,0,1
2959,3299400,589524992,17149952,555227405,473,68754,0,0,0,0,0,0,0,0,76,0,1
2960,1870500,589524992,17149952,555227405,474,68755,0,0,0,0,0,0,0,0,76,0,1
2961,4938200,589524992,17149952,555227405,474,68755,0,0,0,0,0,0,0,0,76,0,1
2962,2022500,590086144,17149952,572004621,474,68755,0,0,0,0,0,0,0,0,76,0,1
2963,4515800,590086144,17149952,572004621,474,68755,0,0,0,0,0,0,0,0,76,0,1
2964,2182200,590086144,17149952,572004621,474,68755,0,0,0,0,0,0,0,0,76,0,1
2965,3937900,589832192,16748544,571603213,475,68730,0,0,0,0,0,0,0,0,76,0,1
2966,2094700,589901824,16748544,571603213,475,68730,0,0,0,0,0,0,0,0,76,0,1
2967,3039300,589901824,16748544,571603213,475,68730,0,0,0,0,0,0,0,0,76,0,1
2968,2041800,589901824,16748544,571603213,475,68730,0,0,0,0,0,0,0,0,76,0,1
2969,2942400,589901824,16748544,571603213,475,68730,0,0,0,0,0,0,0,0,76,0,1
2970,2218600,589500416,16347136,571201805,475,68730,0,0,0,0,0,0,0,0,76,0,1
2971,3147100,589672448,16347136,571201805,476,69112,0,0,0,0,0,0,0,0,76,0,1
2972,3399200,589672448,16347136,571201805,476,69112,0,0,0,0,0,0,0,0,76,0,1
2973,1859000,589672448,16347136,571201805,476,69112,0,0,0,0,0,0,0,0,76,0,1
2974,3228700,589672448,16347136,571201805,476,69112,0,0,0,0,0,0,0,0,76,0,1
2975,2147600,589672448,16347136,571201805,476,69112,0,0,0,0,0,0,0,0,76,0,1
2976,3258600,589672448,16347136,571201805,476,69112,0,0,0,0,0,0,0,0,76,0,1
2977,2188500,589783040,16347136,571201805,477,63,0,0,0,0,0,0,0,0,76,0,1
2978,4709700,589783040,16347136,571201805,477,63,0,0,0,0,0,0,0,0,76,0,1
2979,3945900,589783040,16347136,571201805,477,63,0,0,0,0,0,0,0,0,76,0,1
2980,4813000,589783040,16347136,571201805,477,63,0,0,0,0,0,0,0,0,76,0,1
2981,1952200,589783040,16347136,571201805,478,63,0,0,0,0,0,0,0,0,76,0,1
2982,4950700,589783040,16347136,571201805,478,63,0,0,0,0,0,0,0,0,76,0,1
2983,1881600,589783040,16347136,571201805,478,63,0,0,0,0,0,0,0,0,76,0,1
2984,3467500,589783040,16347136,571201805,478,63,0,0,0,0,0,0,0,0,76,0,1
2985,2055900,589778944,16343040,571197709,478,63,0,0,0,0,0,0,0,0,76,0,1
2986,3227900,589778944,16343040,571197709,478,63,0,0,0,0,0,0,0,0,76,0,1
2987,2456800,589869056,16343040,571197709,479,62,0,0,0,0,0,0,0,0,76,0,1
2988,5028100,589869056,16343040,571197709,479,62,0,0,0,0,0,0,0,0,76,0,1
2989,1998900,589869056,16343040,571197709,479,62,0,0,0,0,0,0,0,0,76,0,1
2990,3035300,589869056,16343040,571197709,479,62,0,0,0,0,0,0,0,0,76,0,1
2991,2579600,589869056,16343040,571197709,479,62,0,0,0,0,0,0,0,0,76,0,1
2992,2478700,589869056,16343040,571197709,479,62,0,0,0,0,0,0,0,0,76,0,1
2993,2316700,589869056,16343040,571197709,480,62,0,0,0,0,0,0,0,0,76,0,1
2994,4392400,589869056,16343040,571197709,480,62,0,0,0,0,0,0,0,0,76,0,1
2995,2188900,589869056,16343040,571197709,480,62,0,0,0,0,0,0,0,0,76,0,1
2996,3170300,589869056,16343040,571197709,480,62,0,0,0,0,0,0,0,0,76,0,1
2997,2404800,589869056,16343040,571197709,480,62,0,0,0,0,0,0,0,0,76,0,1
2998,2914800,589869056,16343040,571197709,481,62,0,0,0,0,0,0,0,0,76,0,1
2999,3936800,589963264,16343040,587974925,481,62,0,0,0,0,0,0,0,0,76,0,1
3000,1938300,589963264,16343040,587974925,481,62,0,0,0,0,0,0,0,0,76,0,1
3001,4018200,589963264,16343040,587974925,481,62,0,0,0,0,0,0,0,0,76,0,1
3002,1809600,589963264,16343040,587974925,481,62,0,0,0,0,0,0,0,0,76,0,1
3003,4088000,589963264,16343040,587974925,481,62,0,0,0,0,0,0,0,0,76,0,1
3004,2480200,589971456,16343040,587974925,482,69395,0,0,0,0,0,0,0,0,76,0,1
3005,4797500,589996032,16343040,587974925,482,69395,0,0,0,0,0,0,0,0,76,0,1
3006,1829700,590086144,16343040,587974925,482,69395,0,0,0,0,0,0,0,0,76,0,1
3007,3926300,590086144,16343040,587974925,482,69395,0,0,0,0,0,0,0,0,76,0,1
3008,1891700,590086144,16343040,587974925,482,69395,0,0,0,0,0,0,0,0,76,0,1
3009,4909200,590090240,16343040,587974925,483,69394,0,0,0,0,0,0,0,0,76,0,1
3010,2868000,590090240,16343040,587974925,483,69394,0,0,0,0,0,0,0,0,76,0,1
3011,3112800,590090240,16343040,587974925,483,69394,0,0,0,0,0,0,0,0,76,0,1
3012,2016400,590090240,16343040,587974925,483,69394,0,0,0,0,0,0,0,0,76,0,1
3013,3920900,590090240,16343040,587974925,483,69394,0,0,0,0,0,0,0,0,76,0,1
3014,2296800,590094336,16343040,587974925,484,69393,0,0,0,0,0,0,0,0,76,0,1
3015,5235900,590110720,16343040,587974925,484,69393,0,0,0,0,0,0,0,0,76,0,1
3016,2160500,590266368,16343040,587974925,484,69393,0,0,0,0,0,0,0,0,76,0,1
