Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
59;2695500;573001728;11472896;497252621;0;0;0;0;0;0;0;0;0;0;9;0;0;
60;1983600;573014016;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
61;2444100;573018112;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
62;2216100;573030400;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
63;2110400;573034496;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
64;2200200;573046784;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
65;2266700;573083648;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
66;2397100;573095936;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
67;2069200;573104128;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
68;2269100;573108224;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
69;2234900;573120512;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
70;2201400;573124608;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
71;2459700;573136896;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
72;2313800;573140992;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
73;2022400;573186048;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
74;2704900;573190144;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
75;2023800;573198336;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
76;2318600;573206528;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
77;2182200;573214720;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
78;2463900;573222912;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
79;2190200;573231104;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
80;2134800;573267968;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
81;2506800;573276160;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
82;2127000;573284352;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
83;2218000;573292544;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
84;2250500;573300736;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
85;2454500;573308928;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
86;2516800;573317120;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
87;1976200;573358080;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
88;3713600;573374464;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
89;1885600;573390848;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
90;2235800;573419520;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
91;2226300;573501440;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
92;3221400;573513728;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
93;1447200;573517824;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
94;2916600;573558784;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
95;2035000;573571072;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
96;2274800;573599744;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
97;2204500;573628416;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
98;2429100;573657088;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
99;2323400;573669376;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
100;2570500;573677568;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
101;1948700;573718528;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
102;3994000;573722624;11472896;499349773;0;0;0;0;0;0;0;0;0;0;9;0;0;
