Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
59;2247700;572739584;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
60;2581800;572743680;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
61;1923000;572788736;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
62;4639500;572792832;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
63;1072300;572801024;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
64;3859200;572809216;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
65;1889900;572817408;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
66;2598400;572825600;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
67;1994800;572866560;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
68;3019000;572870656;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
69;2114900;572882944;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
70;2451800;572887040;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
71;2032300;572895232;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
72;2537900;572903424;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
73;2053800;572911616;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
74;2309600;572923904;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
75;2094100;572960768;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
76;3181400;572968960;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
77;2577700;572977152;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
78;1946000;572985344;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
79;2182800;572993536;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
80;2166500;573001728;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
81;2437700;573005824;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
82;2110600;573050880;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
83;3359900;573054976;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
84;2200200;573063168;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
85;2300800;573071360;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
86;1991700;573079552;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
87;2268600;573087744;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
88;2237200;573095936;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
89;2319400;573140992;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
90;2311200;573149184;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
91;2384900;573157376;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
92;2429400;573165568;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
93;2061700;573198336;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
94;2204000;573222912;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
95;2274300;573255680;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
96;2037800;573313024;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
97;3194900;573341696;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
98;1936500;573366272;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
99;2518900;573378560;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
100;1997400;573382656;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
101;2291700;573394944;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
102;2235600;573403136;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
103;2473500;573452288;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
104;2517100;573460480;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
105;2566600;573468672;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
106;1966200;573480960;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
107;2239500;573485056;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
108;2160800;573493248;11468800;499345677;0;0;0;0;0;0;0;0;0;0;27;0;0;
